"Imported Companies","Enrich LI Company","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Company Headcount Growth","Find most recent news","Find Technology Stack","Find Tech Stack","Tech Stack","Find Open Jobs","Find Open Jobs (1)","Find Active Job Openings via LinkedIn","Job Openings"
,,"BF INDUSTRIAL TECHNOLOGY & SOLUTIONS LIMITED(WHOLLY OWNED SUBSIDIARY OF BHARAT FORGE LTD)","BF Industrial Technology & Solutions Limited (BFITSL), is an ISO 9001:2015 certified Indian Company, is engaged in the manufacturing and marketing of forged flanges & heavy forgings.

We are manufacturing various heavy forging like shafts, valve bodies, rounds, discs, shells, fluid end, bop, blocks, rings etc.

Over the years BFITSL has strengthen its presence in India, Europe, USA and Middle East.

We are India's leading forging and machining company. Our presence of more than couple of decades proves our caliber and strong presence in this domain. We have proved ourselves to become ""One Stop Solution Provider"" for our product range.","Mechanical or Industrial Engineering","201-500 employees","Public Company","Vadodara, Gujarat","India","bfitsl.com","https://www.linkedin.com/company/bf-industrial-technology-solutions-limited-wholly-owned-subsidiary-of-bharat-forge-ltd",,,,,,,,,
,,"OMIS India Cranes & Handling Private Limited","We are pleased to introduce OMIS INDIA, a brand well known in the European market as well in India. This company was formed way back in 1967 and has grown year by year with its sheer technology, knowledge gained in years and years, hi tech machines used in manufacturing, makes us proud to be in this position now. In its 55 years of operations as a family, OMIS has successfully applied efficiency and ingenuity to the manufacturing of Crane solutions for all kinds and sizes of applications. 

 

OMIS is situated in Sandrigo, North of Italy where Industry is the culture with many important manufacturing units established. We produce everything In-house and quality is taken care of in every stage with skilled engineers and automatic machines. The core values of the company's strategic vision can be recognized in each and every component produced in our factories. Today, OMIS is the unchallenged leader in the Italian market and one of Europe's biggest Crane manufacturers with more than 50,000 installations.

 

OMIS product range includes - Single and Double Girder EOT Cranes, Gantry and Semi Gantry Cranes, Automated and Heavy Duty Industrial Cranes, Underslung Cranes, Wall and Column Mounted Jib Cranes, Light Crane Systems, Electric Wire Rope Hoists, Open Barrel Hoists, Chain Hoists, Crane Kits and Crane Components etc. Capacity Ranging from 1.0 Ton to 150 Metric Ton.","Mechanical or Industrial Engineering","11-50 employees","Privately Held","BENGALURU, TAMILNADU","India","omis.net","https://www.linkedin.com/company/omis-indiacranes",,,,,,,,,
,,"Augmented Understanding (AU.)","... because the plural of anecdotes is not data ... 

AU. solves problems and helps transform Schools, NGOs, and Social Enterprises. 

Our mission - Data that works for all. 

We set up easy-to-use frameworks to help in the following areas:

NGOs and Social Enterprises: 
1.	Design and enable efficient data collection. 
2.	Quantify impact/ Impact reporting. 
3.	Reporting, visualisation, and dashboards for day-to-day operations. 
4.	Improve process efficiency by identifying gaps in the organisation. 
5.	Setup and deploy Monitoring and Evaluation (M&E) frameworks. 
6.	Design efficient funder reports.
7.     Annual reports.
8.	Build, manage, operate, upgrade, and train in-house analytics/M&E divisions. 

Schools: 
1.	Digitise and automate office and admin processes. 
2.	Track and monitor student performance.
3.	Personalised teacher insights for better understanding of their classrooms.
4.	Personalised reports for Teachers, Principals, School Leaders and Parents.","Data Infrastructure and Analytics","2-10 employees","Privately Held","Bangalore, Karnataka","India","augstand.com","https://www.linkedin.com/company/augstand",,,,,,,,,
,,"Deccan Mechanical & Chemical Industries Pvt Ltd","Backed by a rich experience of more than 5 decades, DEMECH delivers various turnkey solutions to the core sectors of power, cement and steel. We provide services for Ash Handling, Bulk Material Handling, and Wear and Abrasion Resistant Systems.","Mechanical or Industrial Engineering","201-500 employees","Privately Held","Pune, Maharashtra","India","demechindia.com","https://www.linkedin.com/company/demech-india",,,,,,,,,
,,"S D AQUA TRADE","I would like to introduce our company SD AQUA TRADE that has been in business for the past 10 years.

We have been an established and popular company with an excellent track record for the best customer satisfaction. We have never compromised on the quality and the services provided to the customer. We believe in keeping the customers happy and providing them with products at a very competent price. We have an excellent staffs who will guide you with their best ideas by keeping in constant touch with your company and informing about the market trends.

 We are pleased to inform you that we deals in the following STP/ETP/RO items :

 

1.  FILTER PRESS

2.  DOSING PUMPS

3.  ALL TYPES OF DIFFUSERS

4.  MBBR MEDIA

5.  TUBE SETTLER MEDIA

6.  AGITATOR

7.  FRP VESSELS

8. MULTI PORT VALVES

9. FLOW METERS

10. OIL SKIMMER

11. SCREW PUMPS

And other items related to STP/ETP/RO.

Please feel free to keep in touch with us about any of your business related requirements/queries. Please note that we also specialize in Designing and services for promoting activities in the presently market trends.

We would like to offer our service to your company. Our supervisor will contact you for further discussion at a time convenient to you.

We have our clients in DELHI, NOIDA, UTTARAKHAND, INDORE, BHOPAL, HYDERABAD, COIMBATORE, JAIPUR, KOLKATA, ASSAM, KERELA, KARNATAKA, KERELA, GOA, AHMEDABAD and many more..

 Please visit our company website www.sdaquatrade.com for more information.

 We look forward to a wonderful relationship together and success for all concerned.","Mechanical or Industrial Engineering","2-10 employees","Self Owned","NEW DELHI, DELHI","India","sdaquatrade.com","https://www.linkedin.com/company/s-d-aqua-trade",,,,,,,,,
,,"Superflow Engineering Corporation","Superflow Engineering Corporation company was established in the year of 2007. We are leading manufacturer and suppliers of biotoilet, digester and heat exchanger. Our entire product range is hygienic","Mechanical or Industrial Engineering","11-50 employees",,"Indore, Madhya Pradesh","India","indiamart.com","https://www.linkedin.com/company/superflow-engineering-corporation",,,,,,,,,
,,"Metto.today","We provide new age consulting and data solutions. Scale your business today through the insights of data analytics and data science.","Data Infrastructure and Analytics","2-10 employees","Self Owned","Delhi, Delhi","India","metto.today","https://www.linkedin.com/company/metto-today",,,,,,,,,
,,"Jash Engineersing Limited",,"Mechanical or Industrial Engineering","51-200 employees",,"Indore, Madhya Pradesh","India",,"https://www.linkedin.com/company/jash-engineersing-limited",,,,,,,,,
,,"Ratnamani Metals & Tubes Ltd.","Ratnamani Metals & Tubes Ltd. is a multi-location, multi-product Company, in India, manufacturing Tubes & Pipes in Stainless Steel/Exotic material and also Carbon Steel Pipes, in wide size ranges, for wide spectrum of applications. The entire Organization operates as one monolithic motivated group with deep sense of belongingness and strong commitment to organization goals v.i.z. Customer delight through timely delivery of Products & Services with assured quality of international standard.

️ Leaders in Steel Manufacturing
 Committed to Sustainability & Zero Waste
 Prosperity Through Performance
 Serving Global Industries","Mechanical or Industrial Engineering","1,001-5,000 employees","Public Company","Ahmedabad, Gujarat","India","ratnamani.com","https://www.linkedin.com/company/ratnamani-metal-&-tubes-ltd",,,,,,,,,
,,"SUJA DESIGNERS",,"Mechanical or Industrial Engineering",,,"Madakkulam, Tamil Nadu","India","sujadesigners.com","https://www.linkedin.com/company/suja-designers",,,,,,,,,
,,"Metallizing Equipment Co. Pvt. Ltd.","METALLIZING EQUIPMENT CO. PVT. LTD (MEC), established in 1967, is a leading manufacturer of Thermal Spray Equipments and Auxiliaries. Thermal Spraying is a coating process in which finely divided metallic or non-metallic materials are deposited in a molten or semi-molten condition to form a coating.

MEC provides state-of-art coating facilities such as robotic & PLC controlled plasma, HVOF, arc, flame spray and shot-peening systems. We also provide high-quality spares and powders for the above-mentioned systems of MEC as well as of other popular brands in the field of thermal spray. 

With an experience of over 5 decades, we are proud to have our own Research & Development department consisting of world-class NABL accredited and DSIR approved metallurgical laboratory with sophisticated testing equipments like SEM, XRD, UTM, metallography equipments and many more. Our R&D department extensively works on development of new-age thermal spray coatings for various applications and have many patents in our name. 

Our production facility is one of the very few ones equipped with latest design softwares and ultra-modern equipments like CNCs, VMCs, high-tech precision machines which bring these designs to reality.","Mechanical or Industrial Engineering","201-500 employees","Privately Held","Jodhpur, Rajasthan","India","mecpl.com","https://www.linkedin.com/company/metallizing-equipment-co-pvt-ltd",,,,,,,,,
,,"ICETONAIR PVT LTD","ICE TON AIR PVT LTD has created a unique space for its brand and service propositions. what makes us the preferred choice of businesses from around the world is our constant effort to adhere to even the most challenging and stringent international quality standards to ensure exceptional levels of quality for every service we offer. 
H.V.A.C (heating, ventilation, and air conditioning), 
Modular clean room, 
Clean air equipments, 
Utility piping
B.M.S & electrical services 
Validation and Testing
businesses operating in diverse industry verticals,","Mechanical or Industrial Engineering","11-50 employees","Privately Held","Mumbai, Maharashtra","India","icetonair.com","https://www.linkedin.com/company/icetonair-pvt-ltd",,,,,,,,,
,,"TURNING POINT","ROUGH AND PROOF MACHINING OF SHAFTS , VALVE BODY's , BUSH , GEAR BLANKS , WIND ENERGY , SPACE , OIL AND GAS PARTS , MAINTENANCE WORKS. ETC.","Mechanical or Industrial Engineering","11-50 employees","Self Owned","Pune, Maharashtra","India",,"https://www.linkedin.com/company/turningpoint626",,,,,,,,,
,,"Luxmi Metal Works","Founded in the year 1978 by Lt. Sh. Prithvi Raj Sharma Ji, Luxmi Metal Works has grown into a leading manufacturer with operations across the globe.

We are a highly acclaimed Manufacturer of high quality gears, pinions, rolls, rings, blocks, shafts, crank shafts, heavy connecting shafts, bearing housing, gear couplings, standard and non-standard heavy forged products.
Bestowed with a world-class infrastructure unit that is equipped with all the required manufacturing machinery and tools as it allows us to meet the varied and challenging demands of different industries.

We are a leading manufacturer of machinery parts for :-
	Sugar Mills
	Re- Rolling Mills
	Cement Plants
	Power Sector
	Wind energy sector 
	Free Forging Hammers
	Sponge iron plants
	Ancillary units of BHEL","Mechanical or Industrial Engineering","11-50 employees","Partnership","Ghaziabad, Uttar Pradesh","India","luxmimetalworks.com","https://www.linkedin.com/company/luxmi-metal-works",,,,,,,,,
,,"Blossom Technocast Pvt. Ltd. - India",,"Mechanical or Industrial Engineering",,,"Ahmedabad, Gujarat","India",,"https://www.linkedin.com/company/blossom-technocast-pvt-ltd---india",,,,,,,,,
,,"Global Automate Solutions","Global Automate Solutions is a Pune (Maharashtra) based manufacturing company that has an active presence for over a decade in manufacturing different types of metal-based products. The company is known as a successful manufacturer and supplier of premium quality of shop floor equipment's like Workstations, Trolleys, Display Boards, Machine Guards, Racks. Apart from manufacturing these products in standard specifications, we also specialize in customizing them as per the requirements of our customers. All our products have been appreciated for their high strength, robust construction, and long life.

Why Us
There a number of factors that contributed to the success of the organization, and made it one of the acknowledged names in the industry. A few of such factors are listed below:

Good financial position
Well-equipped infrastructure
Implementation of the latest manufacturing techniques.
Perfect logistic support.
Warehouse facility.
Capacity for bulk production.

Quality Assurance
Quality is one of the major factors, which the company considers as its foremost priority. We manufacture the products using high-grade metals so that the quality and performance of the finished goods can be assured. We deliver only quality assured products to the customers at market leading prices.","Mechanical or Industrial Engineering","2-10 employees","Self Owned","PUNE, Maharashtra","India","globalautomate.in","https://www.linkedin.com/company/shivkiran-global-automations",,,,,,,,,
,,"Aafiya Wa Rushda Sharikatoon Valves Pvt.Ltd.","Synonymous to quality, Aafiya Wa Rushda Sharikatoon Valves Pvt Ltd is a leading firm engaged in the manufacturing, supplying and exporting of superior quality Industrial Control Valves. We offer a complete range of Industrial Valves, which includes Butterfly Valves, Globe Valves, Gate Valves, and Check Valves. The unmatched quality Industrial Control Valves available with us are widely accepted in numerous industries like Petrochemicals, Fertilizers, Oil & Gas Refineries, Power Plants etc. Our expertise in this field has been in immortal asset. We are recognized as a prime Cast Steel Valves Manufacturer.

Stringent quality checks, right from the procurement of raw materials to the final dispatch, ensure that the quality is in compliance with international standards. The raw materials, which we use, are procured from reliable sources. The incessant efforts of the company towards identifying the specific needs endow with the affable relationship with our customers. Customers all over India and across the world have been benefited from our unmatched quality Valves. We are well positioned amid the foremost High Pressure Valves Exporters from India.","Mechanical or Industrial Engineering","11-50 employees","Privately Held","Mumbai","India","awrsbutterflyvalves.co.in","https://www.linkedin.com/company/aafiya-wa-rushda-sharikatoon-valves-pvt-ltd-",,,,,,,,,
,,"Tecksons Engineering","We �Tecksons Engineering�, are a Sole Proprietorship Firm, affianced in Manufacturing a broad assortment of Hot Stamping Machine, Jigs And Fixtures, Gloves Packing Machine and Pad Printing","Mechanical or Industrial Engineering","11-50 employees",,"Pune, Maharashtra","India",,"https://www.linkedin.com/company/tecksons-engineering",,,,,,,,,
,,"Viva Engineering","Viva Engineering founded in the year 2017 are a renowned firm that is betrothed in manufacturing, supplying and exporting an excellent quality assortment of Air Shaft, Web Guiding Systems, Wrapping Machine, Tape Cutting Machines, Tape Making Machine, Slitting Rewinder Machine, House Foil Rewinder Machine, Masking Tape Rewiding Machine, Slitter Machines, Coating Machine, BOPP Cutting Machine, Rewinder Machine, etc. We are offering services to our client. We have a wide and well functional infrastructural unit that is situated at Ahmedabad (Gujarat, India) and helps us in making a wide gamut of machines as per the set industry standards. Our offered machines are widely demanded their robust construction, long working life, and high efficiency. We are a Sole Proprietorship company that is managed under the headship of our mentor Mr. Vaman Thacker, and have achieved a significant position in this sector.","Mechanical or Industrial Engineering","51-200 employees","Self Owned","Ahmedabad, Gujarat","India","vivaengineeringindia.com","https://www.linkedin.com/company/viva-engineering-india",,,,,,,,,
,,"Finanvo.in","Finanvo is the leading business research company that offers a comprehensive range of verified information, including directors information, GST information, Trademark information, MSME information, EPF profiles, Startup companies information, and any kind of business information. Our unparalleled reliability ensures business continuity, while our multiple redundancy tech architectures guarantee web portal backup and 99.99% uptime. With a single click on the website, our clients can access accurate financial and non-financial data helping them make informed decisions. At Finanvo, we strive to provide companies of all sizes with valuable and relevant business insight to succeed!","Data Infrastructure and Analytics","51-200 employees","Public Company","Ahmedabad, Gujarat","India","finanvo.in","https://www.linkedin.com/company/finanvo-in",,,,,,,,,
,,"GP SPIRA DUCT PVT. LTD. - India",,"Mechanical or Industrial Engineering",,,"Rangareddi, Andhra Pradesh","India","spiralduct.in","https://www.linkedin.com/company/gp-spira-duct-pvt-ltd---india",,,,,,,,,
,,"Jangid Engineering & Trading Co.","We, Jangid Engineering & Trading Co. are known as the leading manufacturer, wholesaler, retailer, trader and service provider of Conveyor Machine, Industrial Trolleys, Dies Machine, Fabrication Service and much more.","Mechanical or Industrial Engineering","11-50 employees",,"Gurgaon, Haryana","India","indiamart.com","https://www.linkedin.com/company/jangid-engineering-&-trading-co.",,,,,,,,,
,,"Saanvika Corporation","SAANVIKA CORPORATION formed a group of energetic people having sound technical knowledge and ability to work to get 100% success. Established in 2018 and located in  Ambernath, Thane, Maharashtra(India). Our all the team
member have good experience in engineering field and developed a comprehensive knowledge over the years on a wide range of engineering projects and have the capability to carry out the work as per industry requirement.

SAANVIKA CORPORATION aims to bring together the broad range of experience of its personnel to provide an innovative and professional service to our clients.
We Deal In Manufacturing, Fabrication and Supply of Engineering Items , Our Specialization involves wide range of products, which service for oil & Gas petrochemical and general industry, and our strength remains in our quality product and excellent service.","Mechanical or Industrial Engineering","11-50 employees","Partnership","Ambarnath, Maharashtra","India","saanvikacorporation.com","https://www.linkedin.com/company/saanvikacorporation",,,,,,,,,
,,"General Engineering Consortium","General Engineering Consortium Manufacturer of 2 way ball valve, flush ball valve & ic ball valve in Bengaluru, Karnataka.","Mechanical or Industrial Engineering","51-200 employees",,"Bangalore, Karnataka","India","gecvalves.com","https://www.linkedin.com/company/general-engineering-consortium",,,,,,,,,
,,"Prompt Castings Pvt. Ltd. - India",,"Mechanical or Industrial Engineering",,,"Kolkata, West Bengal","India","promptcastings.com","https://www.linkedin.com/company/prompt-castings-pvt-ltd---india",,,,,,,,,
,,"Captech Engineers",,"Mechanical or Industrial Engineering",,,"Mumbai, Maharashtra","India","captech.in","https://www.linkedin.com/company/captech-engineers",,,,,,,,,
,,"Gupta Engineers & Contractors",,"Mechanical or Industrial Engineering","11-50 employees",,"Noida, Uttar Pradesh","India",,"https://www.linkedin.com/company/gupta-engineers-&-contractors",,,,,,,,,
,,"Aerobotics Engineering and Solutions","Aerobotics Engineering and Solutions is a company offering the Engineering solutions and advanced Engineering services for Industry, home, colleges and also providing educational support to students. Todays competition demands for the innovative, inventive and cost effective solutions. Our advance engineering services help to satisfy the customers needs.

Our Team consists of qualified and experienced Engineering professionals to give you expertise work for your requirement in a correct time.","Mechanical or Industrial Engineering","2-10 employees","Self Owned","Coimbatore, TamilNadu","India","aeroboticspk.in","https://www.linkedin.com/company/aerobotics-engineering-and-solutions",,,,,,,,,
,,"Pramatra Space","Taking a Quantum leap towards security - Pramatra Space is building the next generation of encryption systems to make digital ecosystems and enterprises ""Quantum Safe"".","Data Security Software Products","2-10 employees","Privately Held","Bangalore, Karnataka","India",,"https://www.linkedin.com/company/pramatra-space",,,,,,,,,
,,"Octaculus","We at Octaculus Technologies Private Limited, combine unparalleled datasets, pioneering technology and the brightest minds in the industry, to create insights that dont just make bold decisions possible, but necessary. Everything we do is focused on putting you in the position to transform how sectors and industries see themselves.

Our mission is to help people see data in new ways, discover insights, and unlock endless possibilities.","Data Infrastructure and Analytics","51-200 employees","Privately Held","Kolkata, West Bengal","India","octaculus.tech","https://www.linkedin.com/company/octaculus",,,,,,,,,
,,"The Dexa Project","#DataAnalytics #BusinessAnalytics #DigitalMarketing #WebDesign","Data Infrastructure and Analytics","2-10 employees","Partnership","Mumbai , Maharashtra","India","thedexaproject.com","https://www.linkedin.com/company/the-dexa-project",,,,,,,,,
,,"PragMath","PragMath is a boutique analytics consulting firm based out of Gurgaon, India.
With small but nimble teams  we work closely with clients to drive growth and foster a data-driven culture.

The one and only purpose of our being, is to enable businesses harness the competitive edge that lies locked up in their data. We do so by providing specialised services in data management, business intelligence, & advanced analytics.

Our teams are led by experienced data engineers & scientists that are trained to focus on business objectives & desired outcomes  before diving into processes & algorithms.

PragMath has experience across retail, e-commerce, life sciences, & services industries.","Data Infrastructure and Analytics","2-10 employees","Self Owned","Gurgaon, Haryana","India","prag-math.com","https://www.linkedin.com/company/prag-math",,,,,,,,,
,,"Baroda Equipment and Vessels Pvt Ltd","Baroda Equipment and Vessels Pvt Ltd is a heavy engineering manufacturing company based out of Block 241_243, Muval_Mobha Road, Muval PO  Padra Taluka, Padra, Gujarat, India.","Mechanical or Industrial Engineering","201-500 employees","Privately Held","Padra, Gujarat","India","barodaequip.com","https://www.linkedin.com/company/barodaequip",,,,,,,,,
,,"Supreme Hydro Engineering Private Limited Oil & Gas (Andheri)",,"Mechanical or Industrial Engineering","51-200 employees",,"Mumbai, Maharashtra","India",,"https://www.linkedin.com/company/supreme-hydro-engineering-private-limited-oil-&-gas-andheri-",,,,,,,,,
,,"Sanko Engineers","Manufacturer of engineering products, electronics and mechanical product.","Mechanical or Industrial Engineering","11-50 employees",,"Kolkata, West Bengal","India","indiamart.com","https://www.linkedin.com/company/sanko-engineers",,,,,,,,,
,,"Eicher Engineering Component ( Unit Of Eicher Motors Limited.)",,"Mechanical or Industrial Engineering","51-200 employees",,"Thane, Maharashtra","India",,"https://www.linkedin.com/company/eicher-engineering-component-unit-of-eicher-motors-limited.-",,,,,,,,,
,,"ANSCADD",,"Mechanical or Industrial Engineering",,,"Ganjam","India","anscadd.com","https://www.linkedin.com/company/anscadd",,,,,,,,,
,,"Mining & Drilling Equipment",,"Mechanical or Industrial Engineering","11-50 employees",,"Kolkata, West Bengal","India",,"https://www.linkedin.com/company/mining-&-drilling-equipment",,,,,,,,,
,,"KredasInfra",,"Data Infrastructure and Analytics","51-200 employees","Privately Held","hyderabad, telengana","India","kredasinfra.com","https://www.linkedin.com/company/kredasinfra",,,,,,,,,
,,"DATA SCIENCE CLUB HIT","We are a club at Haldia institute of technology, focused on promoting education, driving discussion and raising awareness around Data Science and other emerging fields of Computer Science. We strive to conduct seminars, workshops and other such activity. Our plan is to explore the numerous frontiers of computer science with data science at its heart.","Data Infrastructure and Analytics","11-50 employees","Partnership","HALDIA, West Bengal","India",,"https://www.linkedin.com/company/datascienceclubhit",,,,,,,,,
,,"Chemix Speciality Gases And Equipment - India",,"Mechanical or Industrial Engineering",,,"Bangalore, Karnataka","India","chemixgases.com","https://www.linkedin.com/company/chemix-speciality-gases-and-equipment---india",,,,,,,,,
,,"Python programmer. Ninja coder. AWS certified. Devops. Software Architect. Contract developer","AWS lambda programmer
AWS stepfunctions programmer
Python developer
RPA Remote process automation
Python automation programmer

Enterprise software architect
Contract developer
Contract Programmer

AWS devops
AZURE devops
Jenkins administrator

Typescript programmer
NodeJS programmer
Javascript programmer

Backend programmer
SQL developer
Postgresql developer
NoSQL programmer
Redshift admin","Data Infrastructure and Analytics","Self-employed","Self Employed","chennai, tamil nadu","India","linkedin.com","https://www.linkedin.com/company/python-programmer-ninja-coder-aws-certified-devops-software-architect-contract-developer",,,,,,,,,
,,"Antivirus Plaza","With Antivirus plaza protecting your business has become a lot easier as you can buy the best antivirus software for companies and business. With Business houses suffering heavy losses during this Pandemic Antivirus plaza provides the best antivirus software package for companies. Choose the Best antivirus software for companies from a wide range of softwares from the leading Antivirus brands.

Business antivirus softwares provide defense against the latest threats from multiple sources. At Antivirus plaza all antivirus from leading brands are available for purchase online.

Buy Business antivirus which are designed keeping in mind all the aspects which needs protection in an Organization from the latest cyber threats. Considering all the requirements of the business or company we at Antivirus plaza have provided accurate information and detailed features which will help you to decide which is the best antivirus for you to buy.

Buy the best Business antivirus software which also gives protection to all Devices and Data in your Organization at the same time managing updates and attacks becomes lot easier with a reliable antivirus solution. Buy the best antivirus for your business / company at the lowest prices only on Antivirus plaza.in

All the leading antivirus Brands have a different line of antivirus product for business and companies which cater to the specific needs the organization with emphasis on malware protection, ransomware attacks, online protection, data security, end point security and many more. Buy antivirus for your business at Antivirus plaza today.","Data Security Software Products","11-50 employees","Public Company","Contai, Purba Medinipur","India",,"https://www.linkedin.com/company/antivirus-plaza-india",,,,,,,,,
,,"Machwan Communication & Research","Machwan Communication & Research is a preferred partner for GTM marketing services of several Global IT players and Fortune companies. Specializing in business intelligence, data management, data analytics, and market research services.-

Since its establishment in 2005, it is dedicated to empowering businesses with data-driven insights and actions, optimizing marketing and sales campaigns for enhanced ROI and timely outcomes.

Throughout the pandemic, we secured funding and recently received additional funding in 2023 to expand our services to startup ecosystems across the Asia region. This new phase has witnessed remarkable growth for us as we continuously enhance our capabilities.

By integrating extensive data, comprehensive business vertical and cluster intelligence, top-notch information, and consulting expertise, we deliver unparalleled market insights and competitive analysis to our clients.","Data Infrastructure and Analytics","51-200 employees","Privately Held","Delhi, Delhi","India","machwan.com","https://www.linkedin.com/company/machwan-communication-&-research-private-limited",,,,,,,,,
,,"DC EXPORTS","DC Exports was established at 2003, the company began its operations by focusing on the manufacturing of plastic components, molds, Jigs and Fixtures which was located at Bangalore.   With Reliability, consistency and accuracy we have managed to capture the market of plastic and machined parts. Besides the domestic market, DC Exports has also been able to meet the demand of customers from Singapore, Japan, United States and many other countries in Europe as well. DC Exports is committed to providing the highest quality service to meet our customers satisfaction. With its proven record and growing reputation, various orders have been received from customers. Today, DC Exports is one of the leading Plastic components manufacturers in the region. Currently we have expanded our reach to provide One stop solution in the mechanical field by supporting our customers in Product Design, Development, Prototyping, Manufacturing of Plastics, Rubbers, Sheet metals, Machined parts, Work and test benches.","Mechanical or Industrial Engineering","11-50 employees","Self Owned","Bengaluru South, Karnataka","India","dcexportsindia.com","https://www.linkedin.com/company/dc-exports",,,,,,,,,
,,"KernelPI Analytics","Transforming businesses with behavior-driven insights. Boosting product adoption, optimizing conversions, and enhancing user retention for significant ROI.","Data Infrastructure and Analytics","11-50 employees","Privately Held","Pune, Maharashtra","India","kernelpi.com","https://www.linkedin.com/company/kernel-pi",,,,,,,,,
,,"G M ENGINEERING PVT LTD","Leading Manufacturers of Industrial Valves in India since 1996. Product range includes Gate, Globe, Check, Ball, Plug, Butterfly & Lined Valves in pressure rating upto 2500# Class and in Sizes upto 3000 mm. With work force of more than 350 employees we could able to manufacture more than 35,000 Nos Valves per month. Our valves are approved by global customers also, due to the competitiveness of trustworthy quality and reasonable costs, we would like to support your requirements for Industrial Valves with all of our experience, advantages and always hope we can serve you with a perfect solution. 


 Our valves are successfully in operations in POWER, OIL & GAS, CHEMICAL, REFINERIES, STEEL, PHARMACEUTICALS, CEMENT, PAPER, MINING, WATER TREATMENT,......... MANY MORE Sectors.","Mechanical or Industrial Engineering","201-500 employees","Privately Held","Rajkot, Gujarat, India","India","gmengg.com","https://www.linkedin.com/company/gmengg",,,,,,,,,
,,"Slimline Hydrotek","Since 1991 Slimline Hydrotek has set up new benchmarks in the field of fluid power solutions. We are the leading manufacturers of various industrial and mobile fluid power systems and in building of custom built manifolds.

Our Expertise:

Some of the points which have really made our power units stand out in the market 

- Application Engineering to suit the buyers exact requirement
- Compact layouts with excellent component accessibility for maintenance
- All systems with manifold design and with minimum amount of piping
- Full support on systems with proportional valves
- Energy efficient systems with minimum wastage of power resulting in low operating temperatures.
- Components used are manufactured by all reputed companies
- Most of the systems with Aluminium tanks for better heat dissipation and better aesthetics
- Excellent before sales and after sales service","Mechanical or Industrial Engineering","11-50 employees","Self Owned","Pune, Maharashtra","India","slimlinehydrotek.com","https://www.linkedin.com/company/slimline-hydrotek",,,,,,,,,
,,"Profit.AI","Profit.AI practice takes insights buried in data and provides businesses a straightforward way to transform how they source, interpret, and consume their information. Our users need flexible data structures and a streamlined architecture that quickly turns data resources into informative, meaningful intelligence. We are helping small and mid-scale businesses use data science, AI, and analytics to be more profitable and streamlined for their business.","Data Infrastructure and Analytics","2-10 employees","Privately Held","Uttar Pradesh","India","theprofit.com","https://www.linkedin.com/company/profitai",,,,,,,,,
,,"OM Tubes & Fittings Industries","OM Tubes & Fittings Industries is an industry-standard brand for fittings, flanges, fasteners and machined components. Well known by all project managers and buyers in all major oil and gas companies, we are an automatic choice for instant delivery and top quality.","Mechanical or Industrial Engineering","51-200 employees","Privately Held","Mumbai, Maharashtra","India","omtubes.com","https://www.linkedin.com/company/omtubes",,,,,,,,,
,,"graBApex","Grabapex uses business analysis capabilities for companies small and large to improve and streamline processes that help an organization meet its objectives and reach goals. 
Grabapex help guides businesses in improving processes, products, services, and software through data analysis. These agile workers straddle the line between Information Technology and business to help bridge the gap and improve efficiency. 
Grabapex Use Conventional machine learning solutions use predictive analysis and statistical analysis for finding patterns and catching hidden insights into the available data to get decisions making. 
Help initiate greater employee productivity and ultimately support business information systems that provide solutions to a variety of business issues across multiple departments. Identifying business needs and determining solutions to business problems. The practice of enabling in an organizational context, by defining needs and recommending solutions.
Identify and define the solutions that will maximize the values delivered by an organization.
Business Analysis will provide you with the theoretical foundations of marketing and the data analysis and business modeling techniques that are increasingly being used to shape and inform business decisions.
Grabapex Creating a detailed business analysis, outlining problems, opportunities, and solutions for a business. Defining business requirements and reporting them back to business legends.
Grabapex help improves the profitability of the business and which utilized to formulate optimization techniques for stronger business performance.
Grabapex reflects on using it to improve the decision-making process with this quick availability affordable, and cost-effectiveness.
Grabapex help guide business in improving processes, products, service, and software through data analytics.
Initiate greater employee productivity and ultimately provide solutions to a variety of business issues across multiple departments.","Data Infrastructure and Analytics","11-50 employees","Privately Held","Bangalore, Karnataka","India",,"https://www.linkedin.com/company/grabapex",,,,,,,,,
,,"Max Conformance","Max Conformance is a security and privacy compliance automation solution which facilitates organization to meet their security assurance requirements with internationally recognized standards, frameworks, legal or regulatory requirement for enhancing their existing security posture and to provide security assurance to their customers and stakeholders. 

Max Conformance is designed and developed by security experts who have consulted or served as managers, CISOs and CIOs for different organization helping organizations to meet their security assurance requirements.   

These are the frameworks we offer as solutions: 
1. ISO 27001:2022 Information Security Management System 
2. ISO 27701:2019 Privacy Information Management System 
3. AICPA SOC2 Type 1 and 2  
4. MPA Best practices 
5. NIST 800-53 
6. Integrations","Data Security Software Products","2-10 employees","Privately Held","Mumbai","India","maxconformance.com","https://www.linkedin.com/company/max-conformance",,,,,,,,,
,,"ChemcAI Solutions","Transforming Industrial Engineering, Chemical Engineering and Process Engineering with Artificial Intelligent Solutions, Driving Efficiency, Safety, Sustainability, Real Time Data Predictive Analysis and Plant Optimization.","Data Infrastructure and Analytics","2-10 employees","Partnership","Mumbai","India",,"https://www.linkedin.com/company/chemcai-solutions",,,,,,,,,
